"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11718","Select Given Product","chromium","Fri Feb 14 17:34:23 IST 2025","passed","Fri Feb 14 17:34:35 IST 2025","Products Page Tests","ProductsPage.spec.ts","",""
"","42167","Homepage performance audit","chromium","Fri Feb 14 17:09:45 IST 2025","passed","Fri Feb 14 17:10:27 IST 2025","Lighthouse Performance Tests","lighthouse.spec.ts","",""
"","13818","Select Given Product","firefox","Fri Feb 14 17:08:48 IST 2025","passed","Fri Feb 14 17:09:02 IST 2025","Products Page Tests","ProductsPage.spec.ts","",""
